name,size
decimal2390.csv,18635
decimal2384.csv,53811
decimal1855.csv,8778
decimal1712.csv,3569
decimal3105.csv,21236
decimal1074.csv,114679
decimal1060.csv,20026
decimal529.csv,112331
decimal2569.csv,131474
decimal3111.csv,11816
decimal1706.csv,11872
decimal3139.csv,9325
decimal2227.csv,23639
decimal267.csv,6656
decimal1048.csv,23844
decimal501.csv,17851
decimal2541.csv,21088
decimal515.csv,7528
decimal2555.csv,46325
decimal2233.csv,3783
decimal273.csv,7043
decimal298.csv,9121
decimal1909.csv,163379
decimal1935.csv,77919
decimal2582.csv,41659
decimal2596.csv,4755
decimal1921.csv,4820
decimal1276.csv,7023
decimal3461.csv,135966
decimal2019.csv,1616
decimal3307.csv,15112
decimal1510.csv,119136
decimal1504.csv,955
decimal3313.csv,80449
decimal3475.csv,16589
decimal1262.csv,16834
decimal2743.csv,11939
decimal703.csv,7015
decimal2025.csv,7210
decimal2031.csv,87103
decimal1538.csv,9825
decimal3449.csv,4368
decimal2757.csv,103651
decimal717.csv,15694
decimal2964.csv,17446
decimal924.csv,16994
decimal2970.csv,15093
decimal930.csv,1698
decimal1289.csv,13014
decimal2780.csv,48396
decimal2958.csv,17475
decimal918.csv,7819
decimal2794.csv,136812
decimal2795.csv,3951
decimal919.csv,4224
decimal2959.csv,6418
decimal2781.csv,2684
decimal1288.csv,29007
decimal931.csv,836
decimal2971.csv,7094
decimal925.csv,22985
decimal2965.csv,3336
decimal1539.csv,8601
decimal2030.csv,59031
decimal716.csv,43216
decimal2756.csv,74449
decimal3448.csv,7040
decimal702.csv,2725
decimal2742.csv,7377
decimal2024.csv,3397
decimal3312.csv,6557
decimal1505.csv,60393
decimal1263.csv,9968
decimal3474.csv,40844
decimal3460.csv,8162
decimal1277.csv,8789
decimal1511.csv,4614
decimal3306.csv,17353
decimal2018.csv,23909
decimal2597.csv,69016
decimal1920.csv,9472
decimal1934.csv,41168
decimal2583.csv,117171
decimal1908.csv,3784
decimal299.csv,93941
decimal2554.csv,17663
decimal514.csv,4923
decimal272.csv,16131
decimal2232.csv,100819
decimal266.csv,34388
decimal2226.csv,34551
decimal3138.csv,24412
decimal2540.csv,428
decimal500.csv,12962
decimal1049.csv,3291
decimal2568.csv,9507
decimal528.csv,96865
decimal1061.csv,10409
decimal1707.csv,4317
decimal3110.csv,37654
decimal3104.csv,18884
decimal1713.csv,35217
decimal1075.csv,16022
decimal1854.csv,61722
decimal2385.csv,5379
decimal2391.csv,29132
decimal1840.csv,15401
decimal1698.csv,8516
decimal56.csv,400
decimal1868.csv,2557
decimal42.csv,17269
decimal1129.csv,12619
decimal460.csv,4293
decimal2420.csv,2036
decimal3058.csv,10445
decimal2346.csv,91012
decimal306.csv,9751
decimal1897.csv,9096
decimal1883.csv,7893
decimal2352.csv,7318
decimal312.csv,4721
decimal474.csv,3825
decimal2434.csv,9218
decimal1115.csv,143012
decimal1673.csv,4694
decimal95.csv,4523
decimal3064.csv,34956
decimal3070.csv,139098
decimal1667.csv,662
decimal81.csv,8400
decimal1101.csv,34681
decimal448.csv,18137
decimal2408.csv,18021
decimal3299.csv,35553
decimal2187.csv,99984
decimal2839.csv,3731
decimal879.csv,13441
decimal2193.csv,35210
decimal2805.csv,1033
decimal845.csv,5522
decimal689.csv,4609
decimal2811.csv,15971
decimal851.csv,349
decimal104.csv,7113
decimal2144.csv,136768
decimal2622.csv,8665
decimal662.csv,21823
decimal3528.csv,40025
decimal2636.csv,5539
decimal676.csv,26735
decimal110.csv,6684
decimal2150.csv,4429
decimal1459.csv,57926
decimal138.csv,22267
decimal2178.csv,4956
decimal3266.csv,174227
decimal1471.csv,61015
decimal1317.csv,10624
decimal886.csv,20000
decimal3500.csv,7998
decimal892.csv,6097
decimal3514.csv,4115
decimal1303.csv,18858
decimal1465.csv,15767
decimal3272.csv,25338
decimal114.csv,31912
decimal2154.csv,169546
decimal2632.csv,6169
decimal672.csv,22664
decimal2626.csv,3651
decimal666.csv,1654
decimal3538.csv,12077
decimal100.csv,3969
decimal2140.csv,6452
decimal1449.csv,78971
decimal3276.csv,75712
decimal128.csv,4729
decimal2168.csv,35529
decimal1461.csv,76224
decimal1307.csv,20224
decimal3510.csv,6522
decimal896.csv,6244
decimal3504.csv,1137
decimal882.csv,42539
decimal1313.csv,3783
decimal1475.csv,54578
decimal3262.csv,2134
decimal2197.csv,17947
decimal3289.csv,2496
decimal2829.csv,9695
decimal869.csv,14284
decimal2183.csv,7617
decimal2815.csv,11237
decimal855.csv,10519
decimal2801.csv,31156
decimal841.csv,8524
decimal699.csv,7200
decimal1139.csv,13902
decimal470.csv,30070
decimal2430.csv,5349
decimal2356.csv,37778
decimal316.csv,165205
decimal3048.csv,1639
decimal1887.csv,5728
decimal1893.csv,295
decimal2342.csv,30768
decimal302.csv,54241
decimal464.csv,2539
decimal2424.csv,3210
decimal1105.csv,19854
decimal85.csv,36667
decimal1663.csv,1213
decimal3074.csv,64790
decimal3060.csv,88059
decimal91.csv,90888
decimal1677.csv,13792
